Timestamp,Day of the sale,Quantity,Month of the year ,Day of the week,Price (per item unless its a set),Card amount payed,Cash amount Payed,Product type,Beads Collections,Sterling silver collections,Gold Plated Collections,details,Zirconia Color,Mohave type,Birth Stone type,How many items in the set,Set type 
12/1/2024 21:31:59,12/1/2024,1,December,Sunday,12,,12,Sterling Silver,,Sterling Silver Nose rings,,Zirconia,pink,,,,
12/1/2024 21:32:56,12/1/2024,1,December,Sunday,10,,10,Sterling Silver,,Sterling Silver Nose rings,,Zirconia,white (diamond),,,,
12/3/2024 11:01:35,12/3/2024,1,December,Tuesday,43,43,,Sterling Silver,,Sterling Silver Necklaces,,Clover black,,,,,
12/3/2024 13:40:59,12/3/2024,1,December,Tuesday,40,40,,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia flower with long tail,,,,,
12/3/2024 13:42:52,12/3/2024,1,December,Tuesday,28.5,28.5,,Sterling Silver,,Sterling Silver Necklaces,,Evil eye,,,,,
12/3/2024 14:19:02,12/3/2024,1,December,Tuesday,55,55,,Handmade / Beaded,beaded necklaces,,,Handmade blue heart bead,,,,,
12/3/2024 23:58:39,12/3/2024,1,December,Tuesday,12,12,,Handmade / Beaded,beaded bracelets,,,Customised,,,,,
12/4/2024 15:28:03,12/4/2024,1,December,Wednesday,15,15,,Handmade / Beaded,Earing Charms,,,,,,,,
12/4/2024 15:29:07,12/4/2024,1,December,Wednesday,15,15,,Handmade / Beaded,Earing Charms,,,,,,,,
12/5/2024 22:18:41,12/5/2024,1,December,Thursday,22,22,,Handmade / Beaded,beaded bracelets,,,Onyx,,,,,
12/5/2024 22:20:07,12/5/2024,1,December,Thursday,40,,40,Gold Plated,,,rings,Blue opal double ,,,,,
12/5/2024 22:21:33,12/5/2024,1,December,Thursday,55,55,,Sterling Silver,,Sterling Silver Necklaces,,Men style,,,,,
12/5/2024 22:22:33,12/5/2024,1,December,Thursday,15,15,,Handmade / Beaded,Earing Charms,,,,,,,,
12/5/2024 22:23:56,12/5/2024,1,December,Thursday,15,,15,Handmade / Beaded,Earing Charms,,,,,,,,
12/5/2024 22:26:55,12/5/2024,1,December,Thursday,35,35,,Sterling Silver,,Sterling Silver Stud Earings,,Evil eye,,,,,
12/5/2024 22:28:04,12/5/2024,1,December,Thursday,35,35,,Sterling Silver,,Sterling Silver Stud Earings,,Zirconia,white (diamond),,,,
